name,team_code,team_name,pos,credits,min_proj,pts,reb,ast,stl,blk,tov,pdk,gp,min_total
Vitto Brown,ASM,AS Monaco,F,4.2,13.7,102.0,58.0,15.0,10.0,5.0,12.0,111.9,23.0,315.0
Daniel Theis,ASM,AS Monaco,C,11.5,22.8,176.0,82.0,11.0,4.0,11.0,26.0,201.3,15.0,342.0
Pavel Savkov,BKN,Baskonia Vitoria-Gasteiz,F,0.0,4.33,11.0,3.0,0.0,0.0,0.0,2.0,1.4,6.0,26.0
Chima Moneke,BKN,Baskonia Vitoria-Gasteiz,F,0.0,28.21,462.0,200.0,76.0,29.0,9.0,61.0,641.2,33.0,931.0
Timothe Luwawu-cabarrot,BKN,Baskonia Vitoria-Gasteiz,F,0.0,24.92,259.0,82.0,53.0,20.0,4.0,52.0,200.0,26.0,648.0
Joseba Querejeta,BKN,Baskonia Vitoria-Gasteiz,G,0.0,2.5,2.0,0.0,2.0,0.0,0.0,2.0,-0.5,2.0,5.0
Ousmane Ndiaye,BKN,Baskonia Vitoria-Gasteiz,C,0.0,9.58,31.0,31.0,5.0,2.0,4.0,3.0,44.3,12.0,115.0
Sander Raieste,BKN,Baskonia Vitoria-Gasteiz,F,0.0,9.57,37.0,11.0,9.0,3.0,1.0,6.0,23.1,14.0,134.0
Tadas Sedekerskis,BKN,Baskonia Vitoria-Gasteiz,F,0.0,24.4,184.0,119.0,42.0,8.0,5.0,23.0,302.6,25.0,610.0
Markus Howard,BKN,Baskonia Vitoria-Gasteiz,G,0.0,22.34,387.0,42.0,48.0,11.0,0.0,46.0,213.8,32.0,715.0
Ognjen Jaramaz,BKN,Baskonia Vitoria-Gasteiz,G,0.0,10.09,43.0,12.0,36.0,10.0,1.0,13.0,33.9,22.0,222.0
Donta Hall,BKN,Baskonia Vitoria-Gasteiz,C,0.0,21.5,297.0,182.0,30.0,18.0,38.0,25.0,510.1,34.0,731.0
Khalifa Diop,BKN,Baskonia Vitoria-Gasteiz,C,0.0,14.47,131.0,116.0,15.0,11.0,16.0,23.0,194.6,32.0,463.0
Kamar Baldwin,BKN,Baskonia Vitoria-Gasteiz,G,0.0,21.4,178.0,42.0,93.0,22.0,5.0,23.0,171.3,25.0,535.0
Nikolaos Rogkavopoulos,BKN,Baskonia Vitoria-Gasteiz,F,0.0,18.73,320.0,129.0,32.0,16.0,2.0,18.0,330.0,33.0,618.0
Trent Forrest,BKN,Baskonia Vitoria-Gasteiz,G,0.0,24.79,329.0,95.0,160.0,28.0,8.0,66.0,415.6,34.0,843.0
Luka Samanic,BKN,Baskonia Vitoria-Gasteiz,C,0.0,15.2,136.0,48.0,16.0,7.0,7.0,18.0,133.4,15.0,228.0
Milos Teodosic,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,12.32,90.0,18.0,52.0,5.0,1.0,22.0,77.3,19.0,234.0
Nikola Kalinic,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,27.2,316.0,146.0,91.0,29.0,6.0,59.0,428.6,35.0,952.0
Joel Bolomboy,CZV,Crvena Zvezda Meridianbet Belgrade,C,0.0,24.28,183.0,151.0,11.0,17.0,15.0,25.0,318.5,18.0,437.0
Isaiah Canaan,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,21.03,349.0,52.0,46.0,21.0,1.0,32.0,249.9,35.0,736.0
Filip Petrusev,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,20.16,415.0,147.0,50.0,23.0,16.0,40.0,495.4,32.0,645.0
Nemanja Nedovic,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,18.59,248.0,39.0,77.0,13.0,2.0,36.0,237.9,27.0,502.0
Ognjen Dobric,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,11.07,94.0,29.0,12.0,13.0,2.0,17.0,66.7,27.0,299.0
Branko Lazic,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,5.4,11.0,8.0,1.0,3.0,0.0,2.0,13.8,10.0,54.0
Luka Mitrovic,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,12.56,141.0,73.0,24.0,6.0,6.0,24.0,196.2,25.0,314.0
Rokas Giedraitis,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,15.79,162.0,69.0,26.0,24.0,5.0,9.0,181.1,34.0,537.0
John Brown Iii,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,14.82,68.0,45.0,15.0,12.0,0.0,7.0,108.0,17.0,252.0
Yago Dos Santos,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,16.26,220.0,55.0,114.0,17.0,0.0,42.0,274.2,35.0,569.0
Dejan Davidovac,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,12.54,107.0,49.0,15.0,10.0,5.0,9.0,133.0,28.0,351.0
Codi Miller-mcintyre,CZV,Crvena Zvezda Meridianbet Belgrade,G,0.0,25.37,359.0,110.0,160.0,22.0,0.0,74.0,369.0,35.0,888.0
Mike Daum,CZV,Crvena Zvezda Meridianbet Belgrade,F,0.0,15.05,112.0,52.0,5.0,3.0,2.0,13.0,105.2,19.0,286.0
Fabien Causeur,EA7,EA7 Emporio Armani Milan,G,0.0,21.0,182.0,61.0,37.0,23.0,3.0,19.0,231.8,22.0,462.0
Josh Nebo,EA7,EA7 Emporio Armani Milan,C,0.0,19.25,33.0,18.0,3.0,1.0,4.0,4.0,42.6,4.0,77.0
Nikola Mirotic,EA7,EA7 Emporio Armani Milan,F,0.0,27.5,531.0,192.0,59.0,30.0,10.0,56.0,697.2,30.0,825.0
Niccolo Mannion,EA7,EA7 Emporio Armani Milan,G,0.0,22.04,230.0,39.0,107.0,20.0,1.0,61.0,227.3,27.0,595.0
Zach Leday,EA7,EA7 Emporio Armani Milan,F,0.0,27.65,545.0,152.0,40.0,25.0,4.0,44.0,702.7,34.0,940.0
Shavon Shields,EA7,EA7 Emporio Armani Milan,F,0.0,27.57,335.0,100.0,73.0,19.0,1.0,43.0,391.9,28.0,772.0
Giampaolo Ricci,EA7,EA7 Emporio Armani Milan,F,0.0,15.12,114.0,79.0,14.0,12.0,7.0,12.0,111.0,32.0,484.0
Stefano Tonut,EA7,EA7 Emporio Armani Milan,G,0.0,15.41,87.0,52.0,31.0,9.0,2.0,8.0,126.2,27.0,416.0
Freddie Gillespie,EA7,EA7 Emporio Armani Milan,C,0.0,12.2,58.0,45.0,10.0,10.0,13.0,15.0,76.4,20.0,244.0
Diego Flaccadori,EA7,EA7 Emporio Armani Milan,G,0.0,8.69,23.0,7.0,14.0,4.0,0.0,6.0,14.6,13.0,113.0
Giordano Bortolani,EA7,EA7 Emporio Armani Milan,G,0.0,7.75,17.0,3.0,3.0,0.0,1.0,1.0,17.5,4.0,31.0
Leandro Bolmaro,EA7,EA7 Emporio Armani Milan,G,0.0,22.4,173.0,59.0,77.0,27.0,5.0,29.0,231.9,25.0,560.0
Guglielmo Caruso,EA7,EA7 Emporio Armani Milan,F,0.0,7.77,58.0,32.0,6.0,4.0,12.0,9.0,63.4,22.0,171.0
Ousmane Diop,EA7,EA7 Emporio Armani Milan,F,0.0,8.89,65.0,35.0,9.0,6.0,2.0,13.0,67.6,18.0,160.0
Armoni Brooks,EA7,EA7 Emporio Armani Milan,G,0.0,15.0,244.0,65.0,25.0,16.0,3.0,17.0,208.7,32.0,480.0
Neno Dimitrijevic,EA7,EA7 Emporio Armani Milan,G,0.0,16.85,204.0,42.0,77.0,11.0,0.0,41.0,184.5,27.0,455.0
Achille Lonati,EA7,EA7 Emporio Armani Milan,G,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.7,1.0,2.0
Jan Vesely,BAR,FC Barcelona,C,0.0,21.17,216.0,87.0,46.0,26.0,11.0,22.0,296.0,24.0,508.0
Kevin Punter,BAR,FC Barcelona,G,0.0,27.08,615.0,81.0,111.0,47.0,1.0,60.0,645.3,37.0,1002.0
Alex Abrines,BAR,FC Barcelona,F,0.0,17.0,166.0,77.0,26.0,20.0,4.0,12.0,166.9,37.0,629.0
Nicolas Laprovittola,BAR,FC Barcelona,G,0.0,22.0,40.0,4.0,25.0,4.0,0.0,8.0,56.3,4.0,88.0
Tomas Satoransky,BAR,FC Barcelona,G,0.0,23.72,232.0,126.0,204.0,37.0,4.0,70.0,401.6,39.0,925.0
Youssoupha Fall,BAR,FC Barcelona,C,0.0,10.45,128.0,97.0,1.0,2.0,7.0,25.0,162.3,29.0,303.0
