id,gp,first_name,last_name,team_id,team_code,team_name,position,position_id,cr,pdk,min,starter,pts,ast,reb,stl,blk,blka,fgm,fgm_tot,fga,fga_tot,tpm,tpm_tot,tpa,tpa_tot,ftm,ftm_tot,fta,fta_tot,oreb,dreb,tov,pf,fouls_received,plus_minus,fgp,tpp,ftp,slug
2082,34,Sylvain,Francisco,48,ZAL,Zalgiris Kaunas,G,1,0.0,555.10,867,18,495,154,90,32,12,7,145,145.00,365,365.00,75,75.00,219,219.00,130,130.00,172,172.00,18,72,100,63,178,16,39.7,34.2,75.6,sylvain-francisco
2090,24,Brady,Manek,48,ZAL,Zalgiris Kaunas,F,2,0.0,50.00,214,11,79,8,29,5,1,1,28,28.00,72,72.00,21,21.00,56,56.00,2,2.00,4,4.00,5,24,7,29,7,4,38.9,37.5,50.0,brady-manek
2577,3,Mantas,Juzenas,48,ZAL,Zalgiris Kaunas,G,1,0.0,-1.90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,0.0,0.0,mantas-juzenas
2625,2,Dovydas,Buika,48,ZAL,Zalgiris Kaunas,G,1,0.0,0.20,3,0,0,1,0,1,0,0,0,0,1,1.00,0,0,1,1.00,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,dovydas-buika
2639,7,Isaiah,Wong,48,ZAL,Zalgiris Kaunas,G,1,0.0,43.00,86,0,45,7,9,4,2,2,15,15.00,34,34.00,3,3.00,9,9.00,12,12.00,14,14.00,4,5,5,8,11,-16,44.1,33.3,85.7,isaiah-wong
1280,38,Kevarrius,Hayes,60,PBB,Paris Basketball,C,3,0.0,357.90,769,38,246,18,173,37,32,12,96,96.00,156,156.00,0,0,1,1.00,54,54.00,69,69.00,68,105,34,106,62,125,61.5,0.0,78.3,kevarrius-hayes
1420,6,Daulton,Hommes,60,PBB,Paris Basketball,F,2,0.0,22.60,73,0,26,4,12,4,1,0,8,8.00,19,19.00,6,6.00,16,16.00,4,4.00,8,8.00,6,6,2,16,7,5,42.1,37.5,50.0,daulton-hommes
1453,35,Yakuba,Ouattara,60,PBB,Paris Basketball,G,1,0.0,99.10,520,17,157,11,62,14,2,6,58,58.00,153,153.00,28,28.00,92,92.00,13,13.00,13,13.00,24,38,16,47,10,-49,37.9,30.4,100.0,yakuba-ouattara
1474,29,Maodo,Lo,60,PBB,Paris Basketball,G,1,0.0,243.60,498,1,291,62,44,13,1,15,112,112.00,244,244.00,39,39.00,117,117.00,28,28.00,36,36.00,11,33,39,31,45,-132,45.9,33.3,77.8,maodo-lo
1961,38,Nadir,Hifi,60,PBB,Paris Basketball,G,1,0.0,422.10,759,0,574,51,79,23,0,12,188,188.00,468,468.00,96,96.00,280,280.00,102,102.00,119,119.00,18,61,57,69,109,-156,40.2,34.3,85.7,nadir-hifi
1991,38,Mikael,Jantunen,60,PBB,Paris Basketball,C,3,0.0,383.20,970,38,285,39,184,27,8,8,100,100.00,215,215.00,57,57.00,147,147.00,28,28.00,34,34.00,61,123,18,97,61,182,46.5,38.8,82.4,mikael-jantunen
1993,27,Leon,Kratzer,60,PBB,Paris Basketball,C,3,0.0,7.60,257,0,17,5,64,8,7,0,7,7.00,21,21.00,0,0,0,0,3,3.00,5,5.00,25,39,21,69,9,-20,33.3,0.0,60.0,leon-kratzer
1994,17,Sebastian,Herrera,60,PBB,Paris Basketball,G,1,0.0,33.80,202,9,68,9,18,6,0,2,21,21.00,63,63.00,18,18.00,54,54.00,8,8.00,10,10.00,4,14,2,27,5,61,33.3,33.3,80.0,sebastian-herrera
1996,35,Bandja,Sy,60,PBB,Paris Basketball,F,2,0.0,126.70,473,3,108,13,72,14,11,4,38,38.00,76,76.00,22,22.00,48,48.00,10,10.00,16,16.00,28,44,16,54,20,-74,50.0,45.8,62.5,bandja-sy
1997,38,Tyson,Ward,60,PBB,Paris Basketball,F,2,0.0,455.40,1001,38,418,50,188,36,7,12,147,147.00,334,334.00,64,64.00,193,193.00,60,60.00,79,79.00,40,148,38,99,86,95,44.0,33.2,75.9,tyson-ward
1998,33,Collin,Malcolm,60,PBB,Paris Basketball,F,2,0.0,252.80,625,9,253,39,83,12,5,7,91,91.00,207,207.00,34,34.00,104,104.00,37,37.00,48,48.00,20,63,24,43,48,-14,44.0,32.7,77.1,collin-malcolm
1999,37,Tj,Shorts,60,PBB,Paris Basketball,G,1,0.0,891.20,1011,37,704,271,96,37,2,22,261,261.00,527,527.00,30,30.00,83,83.00,152,152.00,207,207.00,18,78,83,85,244,145,49.5,36.1,73.4,tj-shorts
2506,36,Leopold,Cavaliere,60,PBB,Paris Basketball,F,2,0.0,141.20,394,0,102,15,98,9,0,1,41,41.00,67,67.00,4,4.00,10,10.00,16,16.00,22,22.00,38,60,19,70,31,-136,61.2,40.0,72.7,leopold-cavaliere
2627,4,Mathis,Dossou-yovo,60,PBB,Paris Basketball,F,2,0.0,6.60,30,0,4,0,6,0,0,0,2,2.00,4,4.00,0,0,0,0,0,0,0,0,0,6,0,3,1,11,50.0,0.0,0.0,mathis-dossou-yovo
