id,gp,first_name,last_name,team_id,team_code,team_name,position,position_id,cr,pdk,min,starter,pts,ast,reb,stl,blk,blka,fgm,fgm_tot,fga,fga_tot,tpm,tpm_tot,tpa,tpa_tot,ftm,ftm_tot,fta,fta_tot,oreb,dreb,tov,pf,fouls_received,plus_minus,fgp,tpp,ftp,slug
1648,10,Juhann,Begarin,33,ASM,AS Monaco,G,1,4.0,-4.10,43,0,6,2,12,1,0,1,2,2.00,14,14.00,0,0,7,7.00,2,2.00,4,4.00,5,7,4,10,3,-2,14.3,0.0,50.0,juhann-begarin
2104,23,Terry,Tarpey,33,ASM,AS Monaco,G,1,4.0,98.40,266,6,51,10,52,22,7,1,16,16.00,36,36.00,8,8.00,21,21.00,11,11.00,15,15.00,17,35,1,38,13,61,44.4,38.1,73.3,terry-tarpey
2492,23,Vitto,Brown,33,ASM,AS Monaco,F,2,4.2,111.90,315,11,102,15,58,10,5,2,35,35.00,89,89.00,12,12.00,43,43.00,20,20.00,25,25.00,19,39,12,34,19,53,39.3,27.9,80.0,vitto-brown
2629,15,Daniel,Theis,33,ASM,AS Monaco,C,3,11.5,201.30,342,14,176,11,82,4,11,4,58,58.00,104,104.00,11,11.00,26,26.00,49,49.00,61,61.00,23,59,26,53,46,21,55.8,42.3,80.3,daniel-theis
1192,6,Pavel,Savkov,34,BKN,Baskonia Vitoria-Gasteiz,F,2,0.0,1.40,26,1,11,0,3,0,0,0,4,4.00,11,11.00,3,3.00,8,8.00,0,0,1,1.00,0,3,2,5,1,-14,36.4,37.5,0.0,pavel-savkov
1195,33,Chima,Moneke,34,BKN,Baskonia Vitoria-Gasteiz,F,2,0.0,641.20,931,29,462,76,200,29,9,14,149,149.00,301,301.00,38,38.00,129,129.00,126,126.00,155,155.00,71,129,61,60,155,-55,49.5,29.5,81.3,chima-moneke
1206,26,Timothe,Luwawu-cabarrot,34,BKN,Baskonia Vitoria-Gasteiz,F,2,0.0,200.00,648,19,259,53,82,20,4,13,93,93.00,237,237.00,34,34.00,101,101.00,39,39.00,46,46.00,28,54,52,63,51,-1,39.2,33.7,84.8,timothe-luwawu-cabarrot
1208,2,Joseba,Querejeta,34,BKN,Baskonia Vitoria-Gasteiz,G,1,0.0,-0.50,5,0,2,2,0,0,0,0,1,1.00,3,3.00,0,0,1,1.00,0,0,0,0,0,0,2,2,1,-5,33.3,0.0,0.0,joseba-querejeta
1215,12,Ousmane,Ndiaye,34,BKN,Baskonia Vitoria-Gasteiz,C,3,0.0,44.30,115,3,31,5,31,2,4,0,14,14.00,36,36.00,3,3.00,17,17.00,0,0,0,0,12,19,3,10,4,-22,38.9,17.6,0.0,ousmane-ndiaye
1234,14,Sander,Raieste,34,BKN,Baskonia Vitoria-Gasteiz,F,2,0.0,23.10,134,2,37,9,11,3,1,2,12,12.00,27,27.00,9,9.00,21,21.00,4,4.00,5,5.00,2,9,6,20,5,-46,44.4,42.9,80.0,sander-raieste
1254,25,Tadas,Sedekerskis,34,BKN,Baskonia Vitoria-Gasteiz,F,2,0.0,302.60,610,21,184,42,119,8,5,9,69,69.00,126,126.00,20,20.00,45,45.00,26,26.00,35,35.00,35,84,23,20,48,-55,54.8,44.4,74.3,tadas-sedekerskis
1426,32,Markus,Howard,34,BKN,Baskonia Vitoria-Gasteiz,G,1,0.0,213.80,715,18,387,48,42,11,0,19,128,128.00,344,344.00,80,80.00,236,236.00,51,51.00,60,60.00,8,34,46,73,72,-32,37.2,33.9,85.0,markus-howard
1435,22,Ognjen,Jaramaz,34,BKN,Baskonia Vitoria-Gasteiz,G,1,0.0,33.90,222,0,43,36,12,10,1,1,15,15.00,57,57.00,6,6.00,26,26.00,7,7.00,11,11.00,6,6,13,30,19,-37,26.3,23.1,63.6,ognjen-jaramaz
1451,34,Donta,Hall,34,BKN,Baskonia Vitoria-Gasteiz,C,3,0.0,510.10,731,20,297,30,182,18,38,5,115,115.00,162,162.00,0,0,1,1.00,67,67.00,97,97.00,64,118,25,59,89,-80,71.0,0.0,69.1,donta-hall
1710,32,Khalifa,Diop,34,BKN,Baskonia Vitoria-Gasteiz,C,3,0.0,194.60,463,11,131,15,116,11,16,10,56,56.00,91,91.00,0,0,2,2.00,19,19.00,36,36.00,55,61,23,64,45,61,61.5,0.0,52.8,khalifa-diop
2017,25,Kamar,Baldwin,34,BKN,Baskonia Vitoria-Gasteiz,G,1,0.0,171.30,535,13,178,93,42,22,5,4,69,69.00,180,180.00,20,20.00,66,66.00,20,20.00,25,25.00,4,38,23,61,25,58,38.3,30.3,80.0,kamar-baldwin
2101,33,Nikolaos,Rogkavopoulos,34,BKN,Baskonia Vitoria-Gasteiz,F,2,0.0,330.00,618,2,320,32,129,16,2,9,113,113.00,240,240.00,64,64.00,147,147.00,30,30.00,37,37.00,41,88,18,50,30,46,47.1,43.5,81.1,nikolaos-rogkavopoulos
2490,34,Trent,Forrest,34,BKN,Baskonia Vitoria-Gasteiz,G,1,0.0,415.60,843,28,329,160,95,28,8,16,128,128.00,267,267.00,19,19.00,58,58.00,54,54.00,66,66.00,15,80,66,65,74,16,47.9,32.8,81.8,trent-forrest
2606,15,Luka,Samanic,34,BKN,Baskonia Vitoria-Gasteiz,C,3,0.0,133.40,228,3,136,16,48,7,7,7,53,53.00,111,111.00,10,10.00,30,30.00,20,20.00,29,29.00,19,29,18,18,25,-14,47.7,33.3,69.0,luka-samanic
1222,19,Milos,Teodosic,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,77.30,234,0,90,52,18,5,1,1,26,26.00,75,75.00,19,19.00,54,54.00,19,19.00,23,23.00,1,17,22,40,25,1,34.7,35.2,82.6,milos-teodosic
1269,35,Nikola,Kalinic,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,428.60,952,35,316,91,146,29,6,9,111,111.00,215,215.00,40,40.00,92,92.00,54,54.00,80,80.00,45,101,59,79,96,-9,51.6,43.5,67.5,nikola-kalinic
1335,18,Joel,Bolomboy,35,CZV,Crvena Zvezda Meridianbet Belgrade,C,3,0.0,318.50,437,16,183,11,151,17,15,1,76,76.00,116,116.00,3,3.00,8,8.00,28,28.00,38,38.00,61,90,25,45,42,49,65.5,37.5,73.7,joel-bolomboy
1343,35,Isaiah,Canaan,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,249.90,736,8,349,46,52,21,1,8,114,114.00,277,277.00,70,70.00,183,183.00,51,51.00,59,59.00,12,40,32,66,41,6,41.2,38.3,86.4,isaiah-canaan
1410,32,Filip,Petrusev,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,495.40,645,12,415,50,147,23,16,10,148,148.00,269,269.00,15,15.00,56,56.00,104,104.00,154,154.00,55,92,40,80,120,-1,55.0,26.8,67.5,filip-petrusev
1412,27,Nemanja,Nedovic,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,237.90,502,11,248,77,39,13,2,8,82,82.00,192,192.00,45,45.00,115,115.00,39,39.00,48,48.00,13,26,36,52,60,57,42.7,39.1,81.3,nemanja-nedovic
1413,27,Ognjen,Dobric,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,66.70,299,13,94,12,29,13,2,1,36,36.00,83,83.00,13,13.00,45,45.00,9,9.00,12,12.00,7,22,17,35,15,-17,43.4,28.9,75.0,ognjen-dobric
1416,10,Branko,Lazic,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,13.80,54,1,11,1,8,3,0,0,4,4.00,7,7.00,3,3.00,4,4.00,0,0,0,0,2,6,2,8,3,-1,57.1,75.0,0.0,branko-lazic
1417,25,Luka,Mitrovic,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,196.20,314,2,141,24,73,6,6,5,52,52.00,80,80.00,0,0,0,0,37,37.00,55,55.00,27,46,24,45,55,-24,65.0,0.0,67.3,luka-mitrovic
1422,34,Rokas,Giedraitis,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,181.10,537,2,162,26,69,24,5,4,53,53.00,124,124.00,24,24.00,68,68.00,32,32.00,44,44.00,18,51,9,54,34,29,42.7,35.3,72.7,rokas-giedraitis
1460,17,John,Brown Iii,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,108.00,252,9,68,15,45,12,0,3,22,22.00,52,52.00,0,0,0,0,24,24.00,34,34.00,28,17,7,19,31,-14,42.3,0.0,70.6,john-brown-iii
1526,35,Yago,Dos Santos,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,274.20,569,1,220,114,55,17,0,8,71,71.00,184,184.00,34,34.00,87,87.00,44,44.00,54,54.00,8,47,42,48,77,60,38.6,39.1,81.5,yago-dos-santos
2099,28,Dejan,Davidovac,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,133.00,351,10,107,15,49,10,5,2,37,37.00,66,66.00,10,10.00,25,25.00,23,23.00,28,28.00,8,41,9,44,27,59,56.1,40.0,82.1,dejan-davidovac
2102,35,Codi,Miller-mcintyre,35,CZV,Crvena Zvezda Meridianbet Belgrade,G,1,0.0,369.00,888,34,359,160,110,22,0,13,145,145.00,330,330.00,39,39.00,128,128.00,30,30.00,42,42.00,22,88,74,80,62,23,43.9,30.5,71.4,codi-miller-mcintyre
2210,19,Mike,Daum,35,CZV,Crvena Zvezda Meridianbet Belgrade,F,2,0.0,105.20,286,15,112,5,52,3,2,5,42,42.00,92,92.00,13,13.00,42,42.00,15,15.00,15,15.00,17,35,13,28,19,25,45.7,31.0,100.0,mike-daum
1238,22,Fabien,Causeur,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,231.80,462,2,182,37,61,23,3,4,62,62.00,110,110.00,28,28.00,53,53.00,30,30.00,39,39.00,14,47,19,43,35,5,56.4,52.8,76.9,fabien-causeur
1246,4,Josh,Nebo,36,EA7,EA7 Emporio Armani Milan,C,3,0.0,42.60,77,3,33,3,18,1,4,0,14,14.00,23,23.00,0,0,0,0,5,5.00,10,10.00,8,10,4,9,10,-17,60.9,0.0,50.0,josh-nebo
1268,30,Nikola,Mirotic,36,EA7,EA7 Emporio Armani Milan,F,2,0.0,697.20,825,30,531,59,192,30,10,6,160,160.00,337,337.00,61,61.00,157,157.00,150,150.00,168,168.00,53,139,56,53,147,109,47.5,38.9,89.3,nikola-mirotic
1292,27,Niccolo,Mannion,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,227.30,595,23,230,107,39,20,1,5,80,80.00,177,177.00,29,29.00,88,88.00,41,41.00,50,50.00,4,35,61,68,54,53,45.2,33.0,82.0,niccolo-mannion
1330,34,Zach,Leday,36,EA7,EA7 Emporio Armani Milan,F,2,0.0,702.70,940,23,545,40,152,25,4,12,164,164.00,324,324.00,55,55.00,119,119.00,162,162.00,177,177.00,24,128,44,67,193,-42,50.6,46.2,91.5,zach-leday
1396,28,Shavon,Shields,36,EA7,EA7 Emporio Armani Milan,F,2,0.0,391.90,772,28,335,73,100,19,1,5,118,118.00,243,243.00,43,43.00,102,102.00,56,56.00,77,77.00,16,84,43,41,79,-54,48.6,42.2,72.7,shavon-shields
1399,32,Giampaolo,Ricci,36,EA7,EA7 Emporio Armani Milan,F,2,0.0,111.00,484,15,114,14,79,12,7,1,41,41.00,81,81.00,26,26.00,58,58.00,6,6.00,6,6.00,18,61,12,80,11,19,50.6,44.8,100.0,giampaolo-ricci
1402,27,Stefano,Tonut,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,126.20,416,6,87,31,52,9,2,3,34,34.00,67,67.00,14,14.00,31,31.00,5,5.00,9,9.00,11,41,8,31,19,-3,50.7,45.2,55.6,stefano-tonut
1427,20,Freddie,Gillespie,36,EA7,EA7 Emporio Armani Milan,C,3,0.0,76.40,244,9,58,10,45,10,13,2,24,24.00,39,39.00,0,0,0,0,10,10.00,17,17.00,26,19,15,45,18,-44,61.5,0.0,58.8,freddie-gillespie
1737,13,Diego,Flaccadori,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,14.60,113,0,23,14,7,4,0,2,9,9.00,27,27.00,5,5.00,12,12.00,0,0,1,1.00,1,6,6,12,4,-15,33.3,41.7,0.0,diego-flaccadori
2061,4,Giordano,Bortolani,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,17.50,31,0,17,3,3,0,1,0,7,7.00,13,13.00,2,2.00,4,4.00,1,1.00,2,2.00,3,0,1,2,3,6,53.8,50.0,50.0,giordano-bortolani
2080,25,Leandro,Bolmaro,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,231.90,560,18,173,77,59,27,5,6,67,67.00,152,152.00,8,8.00,36,36.00,31,31.00,46,46.00,11,48,29,47,62,-24,44.1,22.2,67.4,leandro-bolmaro
2217,22,Guglielmo,Caruso,36,EA7,EA7 Emporio Armani Milan,F,2,0.0,63.40,171,1,58,6,32,4,12,4,25,25.00,33,33.00,0,0,0,0,8,8.00,12,12.00,19,13,9,40,13,-31,75.8,0.0,66.7,guglielmo-caruso
2534,18,Ousmane,Diop,36,EA7,EA7 Emporio Armani Milan,F,2,0.0,67.60,160,1,65,9,35,6,2,0,26,26.00,37,37.00,0,0,0,0,13,13.00,18,18.00,17,18,13,42,16,-45,70.3,0.0,72.2,ousmane-diop
2535,32,Armoni,Brooks,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,208.70,480,3,244,25,65,16,3,7,83,83.00,193,193.00,50,50.00,121,121.00,28,28.00,29,29.00,14,51,17,45,23,8,43.0,41.3,96.6,armoni-brooks
2536,27,Neno,Dimitrijevic,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,184.50,455,7,204,77,42,11,0,5,69,69.00,189,189.00,18,18.00,76,76.00,48,48.00,55,55.00,8,34,41,33,48,-136,36.5,23.7,87.3,neno-dimitrijevic
2586,1,Achille,Lonati,36,EA7,EA7 Emporio Armani Milan,G,1,0.0,-2.70,2,0,0,1,0,0,0,1,0,0,3,3.00,0,0,1,1.00,0,0,0,0,0,0,0,0,0,-3,0.0,0.0,0.0,achille-lonati
1228,24,Jan,Vesely,37,BAR,FC Barcelona,C,3,0.0,296.00,508,13,216,46,87,26,11,1,87,87.00,157,157.00,7,7.00,14,14.00,35,35.00,46,46.00,26,61,22,55,52,29,55.4,50.0,76.1,jan-vesely
1331,37,Kevin,Punter,37,BAR,FC Barcelona,G,1,0.0,645.30,1002,33,615,111,81,47,1,14,201,201.00,430,430.00,78,78.00,202,202.00,135,135.00,143,143.00,12,69,60,83,149,111,46.7,38.6,94.4,kevin-punter
1373,37,Alex,Abrines,37,BAR,FC Barcelona,F,2,0.0,166.90,629,18,166,26,77,20,4,3,53,53.00,131,131.00,39,39.00,103,103.00,21,21.00,23,23.00,29,48,12,90,46,58,40.5,37.9,91.3,alex-abrines
1374,4,Nicolas,Laprovittola,37,BAR,FC Barcelona,G,1,0.0,56.30,88,0,40,25,4,4,0,0,14,14.00,25,25.00,7,7.00,13,13.00,5,5.00,8,8.00,1,3,8,11,13,25,56.0,53.8,62.5,nicolas-laprovittola
1375,39,Tomas,Satoransky,37,BAR,FC Barcelona,G,1,0.0,401.60,925,34,232,204,126,37,4,4,90,90.00,202,202.00,25,25.00,72,72.00,27,27.00,40,40.00,32,94,70,90,64,91,44.6,34.7,67.5,tomas-satoransky
1443,29,Youssoupha,Fall,37,BAR,FC Barcelona,C,3,0.0,162.30,303,18,128,1,97,2,7,3,54,54.00,77,77.00,0,0,0,0,20,20.00,30,30.00,40,57,25,52,28,29,70.1,0.0,66.7,youssoupha-fall
1568,25,Juan,Nunez,37,BAR,FC Barcelona,G,1,0.0,193.30,389,5,124,84,63,20,0,3,50,50.00,113,113.00,11,11.00,40,40.00,13,13.00,20,20.00,15,48,33,52,51,1,44.2,27.5,65.0,juan-nunez
1699,31,Joel,Parra,37,BAR,FC Barcelona,F,2,0.0,179.80,464,6,152,19,88,18,3,6,62,62.00,133,133.00,11,11.00,46,46.00,17,17.00,22,22.00,28,60,11,44,26,21,46.6,23.9,77.3,joel-parra
2112,39,Jabari,Parker,37,BAR,FC Barcelona,F,2,0.0,515.30,1061,38,539,68,156,32,9,13,207,207.00,433,433.00,75,75.00,196,196.00,50,50.00,63,63.00,38,118,60,75,68,59,47.8,38.3,79.4,jabari-parker
2113,34,Willy,Hernangomez,37,BAR,FC Barcelona,C,3,0.0,387.60,538,8,280,18,141,19,4,7,107,107.00,168,168.00,0,0,1,1.00,66,66.00,98,98.00,58,83,38,63,105,84,63.7,0.0,67.3,willy-hernangomez
2114,36,Dario,Brizuela,37,BAR,FC Barcelona,G,1,0.0,326.40,660,0,361,79,50,14,3,10,129,129.00,261,261.00,64,64.00,139,139.00,39,39.00,49,49.00,10,40,47,71,67,105,49.4,46.0,79.6,dario-brizuela
2226,37,Justin Lamar,Anderson,37,BAR,FC Barcelona,F,2,0.0,332.00,724,18,264,51,102,25,10,4,98,98.00,182,182.00,31,31.00,75,75.00,37,37.00,42,42.00,25,77,20,68,42,-38,53.8,41.3,88.1,justin-lamar-anderson
2525,24,Chimezie,Metu,37,BAR,FC Barcelona,F,2,0.0,300.40,481,2,263,23,115,15,14,4,108,108.00,196,196.00,20,20.00,55,55.00,27,27.00,36,36.00,24,91,40,48,42,16,55.1,36.4,75.0,chimezie-metu
2600,7,Raul,Villar,37,BAR,FC Barcelona,G,1,0.0,-0.90,14,0,3,0,0,0,0,0,1,1.00,2,2.00,0,0,1,1.00,1,1.00,4,4.00,0,0,2,2,4,-11,50.0,0.0,25.0,raul-villar
2633,2,Mathieu,Grujicic,37,BAR,FC Barcelona,G,1,0.0,2.00,2,0,3,0,1,0,0,0,1,1.00,2,2.00,0,0,1,1.00,1,1.00,2,2.00,0,1,0,1,1,-1,50.0,0.0,50.0,mathieu-grujicic
1187,33,Shabazz,Napier,38,BAY,FC Bayern Munich,G,1,0.0,402.90,680,3,341,106,75,37,0,9,102,102.00,219,219.00,53,53.00,129,129.00,84,84.00,89,89.00,16,59,62,68,84,-63,46.6,41.1,94.4,shabazz-napier
1209,25,Niels,Giffey,38,BAY,FC Bayern Munich,F,2,0.0,141.70,455,8,161,23,46,5,5,5,57,57.00,101,101.00,33,33.00,57,57.00,14,14.00,18,18.00,13,33,19,64,29,-14,56.4,57.9,77.8,niels-giffey
1232,35,Carsen,Edwards,38,BAY,FC Bayern Munich,G,1,0.0,627.10,1009,31,713,115,82,34,2,31,251,251.00,561,561.00,100,100.00,281,281.00,111,111.00,122,122.00,19,63,81,74,148,43,44.7,35.6,91.0,carsen-edwards
1240,34,Nick,Weiler-babb,38,BAY,FC Bayern Munich,G,1,0.0,468.70,896,34,280,168,141,52,2,4,98,98.00,205,205.00,60,60.00,138,138.00,24,24.00,33,33.00,43,98,55,85,54,118,47.8,43.5,72.7,nick-weiler-babb
1355,28,Devin,Booker,38,BAY,FC Bayern Munich,C,3,0.0,478.20,735,28,418,46,132,20,6,8,153,153.00,285,285.00,32,32.00,79,79.00,80,80.00,97,97.00,51,81,46,75,109,-23,53.7,40.5,82.5,devin-booker
1379,25,Oscar,Da Silva,38,BAY,FC Bayern Munich,F,2,0.0,152.30,387,5,121,12,77,12,6,5,51,51.00,88,88.00,6,6.00,19,19.00,13,13.00,19,19.00,29,48,19,52,32,4,58.0,31.6,68.4,oscar-da-silva
1393,36,Johannes,Voigtmann,38,BAY,FC Bayern Munich,C,3,0.0,348.20,851,32,234,87,178,19,7,6,88,88.00,192,192.00,38,38.00,109,109.00,20,20.00,29,29.00,42,136,53,63,40,17,45.8,34.9,69.0,johannes-voigtmann
1428,28,Elias,Harris,38,BAY,FC Bayern Munich,C,3,0.0,131.70,275,5,114,13,42,4,0,4,40,40.00,66,66.00,1,1.00,6,6.00,33,33.00,37,37.00,19,23,9,35,29,42,60.6,16.7,89.2,elias-harris
1432,36,Andreas,Obst,38,BAY,FC Bayern Munich,G,1,0.0,270.00,859,17,368,53,68,19,0,8,123,123.00,291,291.00,102,102.00,240,240.00,20,20.00,27,27.00,15,53,44,77,47,-89,42.3,42.5,74.1,andreas-obst
1433,16,Vladimir,Lucic,38,BAY,FC Bayern Munich,F,2,0.0,204.10,411,15,120,23,77,17,0,1,36,36.00,81,81.00,12,12.00,41,41.00,36,36.00,42,42.00,14,63,15,30,49,8,44.4,29.3,85.7,vladimir-lucic
1642,12,Onuralp,Bitim,38,BAY,FC Bayern Munich,G,1,0.0,11.50,102,1,25,1,11,1,1,2,10,10.00,23,23.00,4,4.00,11,11.00,1,1.00,1,1.00,4,7,9,12,8,-47,43.5,36.4,100.0,onuralp-bitim
2078,26,Danko,Brankovic,38,BAY,FC Bayern Munich,C,3,0.0,126.80,237,1,113,6,56,7,13,1,44,44.00,70,70.00,2,2.00,8,8.00,23,23.00,30,30.00,27,29,14,50,22,-66,62.9,25.0,76.7,danko-brankovic
2202,23,Ivan,Kharchenkov,38,BAY,FC Bayern Munich,G,1,0.0,32.20,161,0,66,12,17,4,2,6,25,25.00,53,53.00,6,6.00,21,21.00,10,10.00,17,17.00,2,15,21,26,15,-55,47.2,28.6,58.8,ivan-kharchenkov
2618,1,Ivan,Volf,38,BAY,FC Bayern Munich,G,1,0.0,4.00,7,0,4,0,1,0,0,0,2,2.00,2,2.00,0,0,0,0,0,0,0,0,1,0,1,0,0,-8,100.0,0.0,0.0,ivan-volf
1346,39,Bonzie,Colson,39,FBB,Fenerbahce Beko Istanbul,F,2,7.6,285.60,720,35,260,21,137,26,10,5,100,100.00,234,234.00,35,35.00,98,98.00,25,25.00,38,38.00,44,93,30,56,49,-39,42.7,35.7,65.8,bonzie-colson
1354,27,Wade,Baldwin Iv,39,FBB,Fenerbahce Beko Istanbul,G,1,11.6,319.40,654,13,300,101,72,24,3,7,106,106.00,251,251.00,25,25.00,81,81.00,63,63.00,79,79.00,17,55,58,57,81,20,42.2,30.9,79.7,wade-baldwin-iv
1357,36,Marko,Guduric,39,FBB,Fenerbahce Beko Istanbul,G,1,10.7,463.80,793,25,391,112,94,26,2,10,126,126.00,259,259.00,48,48.00,125,125.00,91,91.00,103,103.00,15,79,72,87,116,105,48.6,38.4,88.3,marko-guduric
1358,25,Dyshawn,Pierre,39,FBB,Fenerbahce Beko Istanbul,F,2,5.7,130.80,289,1,83,20,51,7,4,4,28,28.00,64,64.00,11,11.00,30,30.00,16,16.00,17,17.00,14,37,9,20,24,51,43.8,36.7,94.1,dyshawn-pierre
1359,37,Tarik,Biberovic,39,FBB,Fenerbahce Beko Istanbul,F,2,8.8,338.80,832,7,384,52,114,19,6,6,137,137.00,296,296.00,80,80.00,185,185.00,30,30.00,36,36.00,32,82,45,86,38,100,46.3,43.2,83.3,tarik-biberovic
1360,39,Nigel,Hayes-davis,39,FBB,Fenerbahce Beko Istanbul,F,2,17.2,768.10,1222,39,650,65,206,44,13,17,215,215.00,471,471.00,91,91.00,222,222.00,129,129.00,142,142.00,55,151,55,82,158,86,45.6,41.0,90.8,nigel-hayes-davis
1362,6,Melih,Mahmutoglu,39,FBB,Fenerbahce Beko Istanbul,G,1,4.0,6.30,33,1,14,1,2,0,0,0,5,5.00,12,12.00,4,4.00,10,10.00,0,0,0,0,1,1,2,4,2,0,41.7,40.0,0.0,melih-mahmutoglu
1365,1,Scottie,Wilbekin,39,FBB,Fenerbahce Beko Istanbul,G,1,6.9,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-3,0.0,0.0,0.0,scottie-wilbekin
1366,2,Metecan,Birsen,39,FBB,Fenerbahce Beko Istanbul,F,2,4.0,5.70,7,0,4,0,4,0,0,0,1,1.00,2,2.00,0,0,0,0,2,2.00,2,2.00,2,2,1,2,1,26,50.0,0.0,100.0,metecan-birsen
1377,33,Sertac,Sanli,39,FBB,Fenerbahce Beko Istanbul,C,3,5.0,188.60,431,17,182,22,80,14,15,4,64,64.00,129,129.00,22,22.00,61,61.00,32,32.00,41,41.00,31,49,20,76,36,-25,49.6,36.1,78.0,sertac-sanli
1398,32,Devon,Hall,39,FBB,Fenerbahce Beko Istanbul,G,1,8.4,302.90,751,15,249,106,70,16,2,4,88,88.00,190,190.00,36,36.00,93,93.00,37,37.00,45,45.00,22,48,41,67,58,62,46.3,38.7,82.2,devon-hall
1401,38,Nicolo,Melli,39,FBB,Fenerbahce Beko Istanbul,F,2,8.5,280.00,657,1,188,43,154,21,15,0,70,70.00,146,146.00,31,31.00,83,83.00,17,17.00,28,28.00,49,105,28,105,56,100,47.9,37.3,60.7,nicolo-melli
1928,22,Arturs,Zagars,39,FBB,Fenerbahce Beko Istanbul,G,1,6.0,136.80,328,13,129,51,25,9,1,1,34,34.00,96,96.00,22,22.00,68,68.00,39,39.00,52,52.00,8,17,29,44,62,-4,35.4,32.4,75.0,arturs-zagars
2238,3,Mert,Eksioglu,39,FBB,Fenerbahce Beko Istanbul,G,1,0.0,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0.0,0.0,0.0,mert-eksioglu
2486,36,Khem,Birch,39,FBB,Fenerbahce Beko Istanbul,C,3,6.3,200.50,492,19,125,21,132,15,15,1,48,48.00,82,82.00,0,0,0,0,29,29.00,40,40.00,59,73,31,83,40,10,58.5,0.0,72.5,khem-birch
2619,18,Errick,Mccollum,39,FBB,Fenerbahce Beko Istanbul,G,1,11.3,219.50,332,5,200,32,38,10,8,5,70,70.00,143,143.00,28,28.00,71,71.00,32,32.00,38,38.00,14,24,13,29,41,96,49.0,39.4,84.2,errick-mccollum
2626,10,Jilson,Bango,39,FBB,Fenerbahce Beko Istanbul,C,3,6.7,33.00,70,0,27,1,18,2,1,0,10,10.00,17,17.00,0,0,0,0,7,7.00,8,8.00,7,11,5,14,8,-5,58.8,0.0,87.5,jilson-bango
1264,26,Paris,Lee,40,ASV,LDLC ASVEL Villeurbanne,G,1,0.0,190.70,572,19,215,81,38,21,1,10,70,70.00,216,216.00,43,43.00,126,126.00,32,32.00,38,38.00,6,32,28,34,51,-71,32.4,34.1,84.2,paris-lee
1333,28,Tarik,Black,40,ASV,LDLC ASVEL Villeurbanne,C,3,0.0,96.30,289,0,104,11,65,4,4,2,41,41.00,60,60.00,0,0,0,0,22,22.00,38,38.00,28,37,30,67,36,-62,68.3,0.0,57.9,tarik-black
1408,9,Benjamin,Bentil,40,ASV,LDLC ASVEL Villeurbanne,F,2,0.0,34.80,118,0,40,4,21,2,0,1,11,11.00,31,31.00,4,4.00,16,16.00,14,14.00,18,18.00,8,13,5,15,12,-40,35.5,25.0,77.8,benjamin-bentil
1440,33,David,Lighty,40,ASV,LDLC ASVEL Villeurbanne,F,2,0.0,112.60,642,22,146,34,59,17,2,3,52,52.00,124,124.00,28,28.00,69,69.00,14,14.00,18,18.00,10,49,21,81,29,-34,41.9,40.6,77.8,david-lighty
1442,32,Nando,De Colo,40,ASV,LDLC ASVEL Villeurbanne,G,1,0.0,436.00,659,0,368,143,55,24,1,12,111,111.00,248,248.00,55,55.00,142,142.00,91,91.00,96,96.00,11,44,76,51,109,-78,44.8,38.7,94.8,nando-de-colo
1446,19,Joffrey,Lauvergne,40,ASV,LDLC ASVEL Villeurbanne,C,3,0.0,260.20,385,13,214,21,94,9,4,10,87,87.00,157,157.00,8,8.00,24,24.00,32,32.00,44,44.00,34,60,19,34,54,-86,55.4,33.3,72.7,joffrey-lauvergne
1447,14,Charles,Kahudi,40,ASV,LDLC ASVEL Villeurbanne,F,2,0.0,26.10,171,2,46,2,17,2,1,1,16,16.00,36,36.00,5,5.00,18,18.00,9,9.00,10,10.00,3,14,10,22,11,-49,44.4,27.8,90.0,charles-kahudi
