name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Bonzie Colson,F,FBB,7.6,285.6,37.578947368421055,7.323076923076924,39.0,18.46153846153846
Kostas Papanikolaou,F,OLY,6.9,256.8,37.21739130434783,6.757894736842106,38.0,18.763157894736842
Konstantinos Mitoglou,F,PAO,6.9,239.5,34.71014492753623,6.141025641025641,39.0,16.153846153846153
Dyshawn Pierre,F,FBB,5.7,130.8,22.947368421052634,5.232,25.0,11.56
Vitto Brown,F,ASM,4.2,111.9,26.642857142857142,4.865217391304348,23.0,13.695652173913043
Petr Cornelie,F,ASM,4.0,70.2,17.55,4.129411764705883,17.0,9.882352941176471
Ioannis Papapetrou,F,PAO,4.0,66.4,16.6,2.553846153846154,26.0,10.576923076923077
Panagiotis Kalaitzakis,F,PAO,4.0,46.2,11.55,1.44375,32.0,7.34375
Metecan Birsen,F,FBB,4.0,5.7,1.425,2.85,2.0,3.5
